log	CALCULATING_CONTRIBUTIONS	COMPUTE_MINIMAL_TRACE	COUNT	EXECUTE	GENERATE_VADCOP_FINAL_COMPRESSED_PROOF	GENERATE_VADCOP_FINAL_PROOF	GENERATING_INNER_PROOFS	INITIALIZING_PROOFMAN	INIT_PROOFMAN	LOADING_FIXED_POLS	PLAN_MAIN	PLAN_SECONDARY	PROOF_GENERATED	REGENERATING_CONST_TREE	REGENERATING_VADCOP_CONST_POLS	REGENERATING_VADCOP_CONST_TREE	WAIT_ASM_RH	WAIT_PLAN_MEM_CPP
prove_triv_m0n0_2.log	0.755	0.006	0.001	0.030		0.279	3.724	6.912	0.000	1.160	0.000	0.006	4.815				0.000	0.000
prove_triv_m0n0_3.log	0.765	0.007	0.001	0.028		0.277	3.771	6.896	0.000	1.142	0.000	0.005	4.869				0.000	0.000
prove_triv_m0n100000_1.log	0.775	0.062	0.020	0.090		0.285	3.611	7.178	0.000	1.161	0.000	0.009	4.788				0.000	0.000
prove_triv_m0n100000_2.log	0.812	0.059	0.020	0.084		0.277	3.753	6.981	0.000	1.174	0.000	0.008	4.955				0.000	0.000
prove_triv_m0n100000_3.log	0.768	0.052	0.010	0.078		0.277	3.809	7.027	0.000	1.189	0.000	0.008	4.964				0.000	0.000
prove_triv_m0n1000_1.log	0.739	0.008	0.001	0.032		0.278	3.692	7.047	0.000	1.215	0.000	0.007	4.773				0.000	0.000
prove_triv_m0n1000_2.log	0.749	0.006	0.001	0.028		0.284	3.521	6.690	0.000	1.191	0.000	0.004	4.618				0.000	0.000
prove_triv_m0n1000_3.log	0.720	0.008	0.001	0.031		0.278	3.758	7.101	0.000	1.177	0.000	0.006	4.814				0.000	0.000
prove_triv_m0n1_1.log	0.825	0.009	0.003	0.035		0.279	3.715	6.806	0.000	1.161	0.000	0.008	4.887				0.000	0.000
prove_triv_m0n1_2.log	0.717	0.006	0.001	0.030		0.280	3.817	6.678	0.000	1.180	0.000	0.005	4.871				0.000	0.000
prove_triv_m0n1_3.log	0.835	0.007	0.001	0.031		0.275	3.718	6.747	0.000	1.197	0.000	0.005	4.893				0.000	0.000
prove_triv_m1n100_1.log	0.751	0.008	0.002	0.031		0.282	4.159	7.556	0.000	1.222	0.000	0.004	5.276				0.000	0.000
